Node,EDDBM,Optimal
75,0.0000004365,0.0000151522
140,0.0000042200,0.0000153150
399,0.0000001167,0.0000151163
440,0.0000002042,0.0000149738
547,0.0000003890,0.0000152180
555,0.0000011669,0.0000152252
668,0.0000001876,0.0000149166
705,0.0000003310,0.0000148332
841,0.0000013686,0.0000152218
940,0.0000003890,0.0000149105
962,0.0000005835,0.0000148821
1017,0.0000019109,0.0000153683
1064,0.0000000117,0.0000147819
1324,0.0000000070,0.0000148492
1332,0.0000016603,0.0000149099
1767,0.0000000417,0.0000148475
1772,0.0000003890,0.0000151097
1778,0.0000011669,0.0000150548
1992,0.0000001061,0.0000151780
2031,0.0000002917,0.0000154022
2035,0.0000011669,0.0000154081
2102,0.0000011669,0.0000154081
2177,0.0000011669,0.0000155708
2218,0.0000011669,0.0000155708
2431,0.0000000778,0.0000150029
2541,0.0000003890,0.0000152077
3032,0.0000002334,0.0000151861
3122,0.0000013153,0.0000150150
3183,0.0000000778,0.0000149662
3418,0.0000002917,0.0000149163
3433,0.0000011669,0.0000150365
3574,0.0000002334,0.0000153488
3627,0.0000000238,0.0000149050
3701,0.0000000972,0.0000152744
3827,0.0000011669,0.0000152191
4155,0.0000003890,0.0000153777
4210,0.0000005835,0.0000156587
4250,0.0000000778,0.0000149456
4580,0.0000000670,0.0000148947
4701,0.0000011669,0.0000156781
4716,0.0000005835,0.0000154571
4765,0.0000003890,0.0000156780
4944,0.0000000324,0.0000149927
5042,0.0000003890,0.0000149601
5045,0.0000001945,0.0000149368
5084,0.0000012820,0.0000151344
5099,0.0000000191,0.0000148358
5102,0.0000000486,0.0000147982
5303,0.0000003890,0.0000149479
5611,0.0000000432,0.0000149585
5699,0.0000000729,0.0000150003
5843,0.0000000778,0.0000149336
6070,0.0000003890,0.0000149336
6088,0.0000001459,0.0000149606
6186,0.0000002917,0.0000149492
6487,0.0000005835,0.0000148797
6669,0.0000011669,0.0000150527
6707,0.0000011669,0.0000150527
6729,0.0000011669,0.0000150527
6760,0.0000002334,0.0000151888
6776,0.0000003890,0.0000151486
6928,0.0000003890,0.0000149480
6934,0.0000000729,0.0000148684
6988,0.0000011669,0.0000148706
6993,0.0000011669,0.0000148706
7082,0.0000011669,0.0000148706
7254,0.0000000972,0.0000150842
7343,0.0000000254,0.0000148542
7353,0.0000000354,0.0000149352
7364,0.0000003890,0.0000149003
7368,0.0000000972,0.0000149458
7581,0.0000000778,0.0000148825
8136,0.0000202558,0.0000151437
8519,0.0000001167,0.0000149527
8757,0.0000001167,0.0000152070
8790,0.0000001459,0.0000150687
8857,0.0000001945,0.0000148825
8889,0.0000000729,0.0000148387
8952,0.0000000556,0.0000148743
8985,0.0000000834,0.0000148797
9091,0.0000002917,0.0000150908
9115,0.0000003890,0.0000150931
9219,0.0000002917,0.0000151118
9225,0.0000011669,0.0000151118
9239,0.0000011669,0.0000151118
9358,0.0000011669,0.0000151118
9404,0.0000005835,0.0000151042
9480,0.0000005835,0.0000151096
9559,0.0000002334,0.0000148876
9601,0.0000005835,0.0000151118
9619,0.0000001459,0.0000149672
10219,0.0000092072,0.0000153117
10436,0.0000001945,0.0000153254
10458,0.0000001297,0.0000148183
10614,0.0000005835,0.0000150999
10626,0.0000011669,0.0000150999
10631,0.0000003890,0.0000150849
10652,0.0000003890,0.0000150763
10678,0.0000002334,0.0000150518
10697,0.0000005835,0.0000150998
10826,0.0000000168,0.0000148298
11348,0.0000001667,0.0000149387
11619,0.0000000670,0.0000148749
11982,0.0000005835,0.0000149558
12204,0.0000003890,0.0000151647
12234,0.0000001459,0.0000149466
12322,0.0000003890,0.0000150611
12330,0.0000072342,0.0000151313
12429,0.0000003890,0.0000153882
12506,0.0000002917,0.0000153900
12563,0.0000005835,0.0000148789
12609,0.0000011669,0.0000148789
12674,0.0000000670,0.0000149665
12694,0.0000011669,0.0000150568
12736,0.0000001297,0.0000153174
12763,0.0000002917,0.0000152414
12936,0.0000001945,0.0000149645
13057,0.0000005835,0.0000149693
13186,0.0000002917,0.0000151531
13245,0.0000002917,0.0000154319
13422,0.0000001667,0.0000149413
13623,0.0000202558,0.0000151747
13723,0.0000005835,0.0000148274
13964,0.0000202558,0.0000157761
14228,0.0000001667,0.0000149284
14333,0.0000003890,0.0000148501
14365,0.0000003890,0.0000148470
14437,0.0000000583,0.0000152315
14484,0.0000002917,0.0000150447
14935,0.0001012791,0.0000152776
14947,0.0001012791,0.0000152776
15107,0.0001012791,0.0000152776
15157,0.0001012791,0.0000152776
15189,0.0001012791,0.0000152776
