Node,EDDBM,Optimal
14,0.0001850341,0.0002886832
24,0.0000007993,0.0000585928
29,0.0000002043,0.0000359482
42,0.0000001785,0.0000387713
79,0.0000002828,0.0000254582
100,0.0000005407,0.0000453889
123,0.0000005571,0.0000439101
128,0.0000001599,0.0000200034
204,0.0000010214,0.0000492665
260,0.0000001585,0.0000243318
276,0.0000013132,0.0000192009
281,0.0000002270,0.0000359790
299,0.0000006340,0.0000478728
302,0.0000004714,0.0000555077
308,0.0000012257,0.0000425440
309,0.0000002918,0.0000261157
332,0.0005887449,0.0002481876
347,0.0000003997,0.0000296836
360,0.0000012257,0.0000585547
389,0.0000014142,0.0000578404
441,0.0000003830,0.0000312157
443,0.0000002965,0.0000595571
494,0.0000003170,0.0000458066
566,0.0004692894,0.0002832751
585,0.0000002873,0.0000162398
586,0.0000001393,0.0000126668
599,0.0000006128,0.0000281398
616,0.0002721090,0.0001438966
648,0.0000007071,0.0000218779
655,0.0002217875,0.0002025260
688,0.0000007071,0.0000326722
715,0.0002970731,0.0001899035
730,0.0005139837,0.0001985352
777,0.0003026259,0.0001668777
839,0.0002434659,0.0001211992
880,0.0000002270,0.0000118954
899,0.0004497357,0.0002292003
937,0.0005887449,0.0003534881
1028,0.0001478583,0.0000920503
1051,0.0000010815,0.0000262154
1135,0.0000004714,0.0000320919
1138,0.0006889568,0.0003165056
1139,0.0008302813,0.0004660731
1150,0.0002130327,0.0001037862
1154,0.0000003536,0.0000142979
1170,0.0000004838,0.0000352282
1185,0.0013492071,0.0007369244
1217,0.0005139837,0.0002381707
1243,0.0000010815,0.0001268188
1247,0.0001031241,0.0000588952
1256,0.0000002744,0.0000120990
1266,0.0007709755,0.0003745660
1275,0.0002023811,0.0001238868
1339,0.0000002225,0.0000230064
1378,0.0004497357,0.0001847772
1386,0.0002296523,0.0001296725
1413,0.0000002786,0.0000122764
1429,0.0000002113,0.0000120778
1448,0.0005782316,0.0003547170
1481,0.0000003536,0.0000204939
1508,0.0005488300,0.0003055384
1529,0.0006227110,0.0002707674
1536,0.0004692894,0.0003223231
1555,0.0004317463,0.0001760082
1559,0.0003338244,0.0001849854
1561,0.0000010815,0.0000292131
1575,0.0000002451,0.0000117124
1588,0.0000011491,0.0000422672
1644,0.0006349210,0.0003390637
