T,Dataset,Model,Efficiency,AvgError
1,Wiki-Vote,EDDBM,88.4,0.520973
1,Wiki-Vote,CAEDDBM,88.8,0.916273
1,Wiki-Vote,PDEDDBM,72.8,0.889969
2,Wiki-Vote,EDDBM,92.6,0.493454
2,Wiki-Vote,CAEDDBM,93.2,0.676058
2,Wiki-Vote,PDEDDBM,83,0.83117
3,Wiki-Vote,EDDBM,93.2,0.518788
3,Wiki-Vote,CAEDDBM,95.8,0.63889
3,Wiki-Vote,PDEDDBM,87,0.778929
4,Wiki-Vote,EDDBM,95.2,0.604998
4,Wiki-Vote,CAEDDBM,95.2,0.61832
4,Wiki-Vote,PDEDDBM,88,0.711913
5,Wiki-Vote,EDDBM,95,0.598612
5,Wiki-Vote,CAEDDBM,96.2,0.598875
5,Wiki-Vote,PDEDDBM,90,0.68111
6,Wiki-Vote,EDDBM,96,0.583353
6,Wiki-Vote,CAEDDBM,96.2,0.574822
6,Wiki-Vote,PDEDDBM,91.8,0.651361
7,Wiki-Vote,EDDBM,96.8,0.57151
7,Wiki-Vote,CAEDDBM,96.4,0.574971
7,Wiki-Vote,PDEDDBM,91.4,0.6173
8,Wiki-Vote,EDDBM,97,0.568537
8,Wiki-Vote,CAEDDBM,96.4,0.568793
8,Wiki-Vote,PDEDDBM,92.2,0.613672
9,Wiki-Vote,EDDBM,96.6,0.56641
9,Wiki-Vote,CAEDDBM,96,0.565818
9,Wiki-Vote,PDEDDBM,93,0.602101
10,Wiki-Vote,EDDBM,96.8,0.551281
10,Wiki-Vote,CAEDDBM,96.8,0.562783
10,Wiki-Vote,PDEDDBM,93.2,0.563297
11,Wiki-Vote,EDDBM,96.8,0.550313
11,Wiki-Vote,CAEDDBM,96.6,0.604976
11,Wiki-Vote,PDEDDBM,93.4,0.553291
12,Wiki-Vote,EDDBM,97.4,0.543543
12,Wiki-Vote,CAEDDBM,96.8,0.588648
12,Wiki-Vote,PDEDDBM,93.6,0.539515
13,Wiki-Vote,EDDBM,97.8,0.538976
13,Wiki-Vote,CAEDDBM,96.6,0.582257
13,Wiki-Vote,PDEDDBM,93,0.5298
14,Wiki-Vote,EDDBM,98.2,0.536198
14,Wiki-Vote,CAEDDBM,96.8,0.57575
14,Wiki-Vote,PDEDDBM,93.6,0.530534
15,Wiki-Vote,EDDBM,98.2,0.534135
15,Wiki-Vote,CAEDDBM,97,0.57198
15,Wiki-Vote,PDEDDBM,94.2,0.523281
16,Wiki-Vote,EDDBM,98.2,0.52918
16,Wiki-Vote,CAEDDBM,97,0.588393
16,Wiki-Vote,PDEDDBM,94,0.511505
17,Wiki-Vote,EDDBM,98.2,0.528138
17,Wiki-Vote,CAEDDBM,97.4,0.586955
17,Wiki-Vote,PDEDDBM,94.4,0.50611
18,Wiki-Vote,EDDBM,97.8,0.532243
18,Wiki-Vote,CAEDDBM,97.4,0.579111
18,Wiki-Vote,PDEDDBM,95,0.501097
19,Wiki-Vote,EDDBM,98,0.543721
