Node,EDDBM,Optimal
85,0.0000876163,0.0001195415
103,0.0000532401,0.0000761694
119,0.0000096800,0.0000551103
152,0.0000532401,0.0000641001
164,0.0000152115,0.0000705299
174,0.0005256981,0.0002857337
217,0.0000133100,0.0000643903
235,0.0002628490,0.0002062221
239,0.0001064802,0.0000728609
295,0.0001064802,0.0000728609
325,0.0000532401,0.0000572229
395,0.0005256981,0.0003942677
412,0.0005256981,0.0003257837
423,0.0003504654,0.0003156029
436,0.0002628490,0.0001817135
441,0.0005256981,0.0003381081
452,0.0002628490,0.0002403953
454,0.0005256981,0.0003381081
558,0.0002628490,0.0002153164
566,0.0001752327,0.0002298994
621,0.0010513961,0.0004217341
665,0.0003504654,0.0002753034
668,0.0001752327,0.0002215178
673,0.0005256981,0.0002791327
690,0.0005256981,0.0004184713
706,0.0005256981,0.0002981418
728,0.0010513961,0.0004217341
747,0.0003504654,0.0002529752
792,0.0003504654,0.0002341014
804,0.0005256981,0.0004156127
823,0.0003504654,0.0002180242
849,0.0005256981,0.0004058681
857,0.0005256981,0.0002981418
886,0.0010513961,0.0004217341
941,0.0005256981,0.0002573413
960,0.0005256981,0.0002623587
981,0.0005256981,0.0004052224
991,0.0003504654,0.0002570853
1075,0.0005256981,0.0004212562
1119,0.0005256981,0.0002573413
1121,0.0005256981,0.0002573413
1142,0.0003504654,0.0003366302
1158,0.0005256981,0.0003433262
1159,0.0005256981,0.0003379605
1219,0.0005256981,0.0002623587
1236,0.0005256981,0.0002573413
1317,0.0002628490,0.0001861560
1319,0.0005256981,0.0003550199
1345,0.0005256981,0.0003379605
1358,0.0001752327,0.0002458797
1359,0.0002628490,0.0002449318
1383,0.0005256981,0.0004207458
1419,0.0005256981,0.0004214408
1435,0.0005256981,0.0003749512
1448,0.0005256981,0.0002981418
1459,0.0010513961,0.0004217341
1467,0.0003504654,0.0002561830
1504,0.0010513961,0.0004217341
1515,0.0005256981,0.0003360231
1529,0.0005256981,0.0002573413
1539,0.0005256981,0.0003818145
1544,0.0005256981,0.0003360231
1551,0.0010513961,0.0004217341
1563,0.0005256981,0.0002573413
1567,0.0005256981,0.0003194378
1586,0.0005256981,0.0003774714
1602,0.0005256981,0.0003791142
1603,0.0005256981,0.0003774714
1604,0.0005256981,0.0003603574
1623,0.0005256981,0.0002623587
1635,0.0005256981,0.0002623587
1719,0.0000056042,0.0000821028
1720,0.0000266201,0.0000755972
1752,0.0000532401,0.0000813189
1761,0.0001064802,0.0000749884
1783,0.0000532401,0.0000596145
1788,0.0000532401,0.0000778909
1822,0.0000096800,0.0001063572
1863,0.0000532401,0.0000932533
1913,0.0000212960,0.0000537654
1914,0.0000532401,0.0000675033
1967,0.0000177467,0.0000597857
1984,0.0000532401,0.0000521771
2025,0.0000354934,0.0000601740
2033,0.0000266201,0.0000700883
2039,0.0001064802,0.0000641996
2054,0.0000532401,0.0000654809
2056,0.0000532401,0.0000654809
2106,0.0000532401,0.0000735055
2124,0.0001064802,0.0000641996
2137,0.0001064802,0.0000641996
2175,0.0000354934,0.0000637496
2187,0.0000532401,0.0000641996
2207,0.0000532401,0.0000609580
2243,0.0000532401,0.0000630836
2249,0.0000532401,0.0000632217
2260,0.0001064802,0.0000641996
2307,0.0000532401,0.0000584507
2309,0.0000532401,0.0000584507
2323,0.0000532401,0.0000584507
2328,0.0000532401,0.0000903228
2335,0.0000532401,0.0000800660
2362,0.0000212960,0.0000693069
2367,0.0000106480,0.0000747257
2368,0.0001064802,0.0000768600
2383,0.0000532401,0.0000945044
2472,0.0000354934,0.0001028124
2521,0.0000532401,0.0000693699
2528,0.0000212960,0.0000585223
2548,0.0000532401,0.0000664610
2597,0.0000532401,0.0000632239
2737,0.0001064802,0.0000605995
2841,0.0000532401,0.0001526083
2860,0.0000532401,0.0001119840
2878,0.0000354934,0.0000932406
2881,0.0000354934,0.0001054053
2912,0.0001064802,0.0000932783
2932,0.0001064802,0.0000953041
2959,0.0001064802,0.0000953041
2978,0.0001064802,0.0000953041
3014,0.0000403497,0.0000458629
3018,0.0000403497,0.0000458629
3022,0.0000403497,0.0000458629
3023,0.0000201749,0.0000456775
3069,0.0001064802,0.0001060583
3164,0.0001064802,0.0000862745
3167,0.0001064802,0.0000862745
3172,0.0000354934,0.0000804070
3238,0.0001064802,0.0001035720
3265,0.0001064802,0.0001035720
3290,0.0000532401,0.0001067481
3312,0.0000532401,0.0000951394
3316,0.0000532401,0.0000929132
3342,0.0000354934,0.0000962955
3352,0.0000212960,0.0001059839
3354,0.0000532401,0.0000993494
3372,0.0001064802,0.0001469345
3426,0.0001064802,0.0001330905
3443,0.0000354934,0.0001105546
3448,0.0000532401,0.0001161583
3456,0.0000532401,0.0001138126
3479,0.0001064802,0.0000979254
3499,0.0000152115,0.0000980310
3541,0.0001064802,0.0001136614
3546,0.0000532401,0.0001166561
3595,0.0000201749,0.0000726585
3597,0.0000040350,0.0000585214
3600,0.0000212960,0.0001804197
3619,0.0000532401,0.0001256279
3620,0.0001064802,0.0001261475
3633,0.0001064802,0.0001261475
3667,0.0001064802,0.0001145662
3669,0.0000177467,0.0000898309
3674,0.0001064802,0.0001124109
3690,0.0000532401,0.0002166339
3707,0.0001064802,0.0002035314
3712,0.0000403497,0.0000551103
3716,0.0000201749,0.0000491849
3725,0.0000403497,0.0000469586
3767,0.0001064802,0.0001078732
3781,0.0000403497,0.0000704907
3788,0.0000201749,0.0000897405
3789,0.0000403497,0.0000897554
3806,0.0000057642,0.0000534635
3813,0.0000134499,0.0000551498
3818,0.0000201749,0.0000526835
3827,0.0000403497,0.0000527161
3863,0.0000201749,0.0000635047
3869,0.0000532401,0.0001676923
3906,0.0000403497,0.0000984325
3907,0.0000080699,0.0000889086
3940,0.0000118311,0.0001524937
3965,0.0000532401,0.0001386665
3979,0.0000532401,0.0001422579
4053,0.0000403497,0.0000774575
4072,0.0000403497,0.0000774575
4085,0.0000212960,0.0001288478
4094,0.0000028778,0.0001804838
4099,0.0001064802,0.0001879830
4111,0.0000532401,0.0001820904
4161,0.0000532401,0.0001683338
4191,0.0000403497,0.0000600721
4208,0.0000201749,0.0000637545
4221,0.0000212960,0.0002058924
4230,0.0000532401,0.0002886084
4249,0.0000403497,0.0000969456
4250,0.0000532401,0.0002508551
4268,0.0000201749,0.0000896214
4292,0.0001064802,0.0001866676
4405,0.0000201749,0.0000910452
4441,0.0001064802,0.0002386288
