T,Dataset,Model,Efficiency,AvgError
1,as20000102,EDDBM,85,0.0421019
1,as20000102,CAEDDBM,86,0.040554
1,as20000102,PDEDDBM,84.6,0.0192756
2,as20000102,EDDBM,89.2,0.0495975
2,as20000102,CAEDDBM,88.2,0.0360068
2,as20000102,PDEDDBM,86.6,0.0227585
3,as20000102,EDDBM,91.8,0.0388664
3,as20000102,CAEDDBM,90,0.0502549
3,as20000102,PDEDDBM,88.6,0.0370892
4,as20000102,EDDBM,93.4,0.0299986
4,as20000102,CAEDDBM,90.4,0.0415815
4,as20000102,PDEDDBM,89.4,0.0419988
5,as20000102,EDDBM,94.2,0.0383918
5,as20000102,CAEDDBM,91.6,0.0354761
5,as20000102,PDEDDBM,91.2,0.0358823
6,as20000102,EDDBM,95,0.0370028
6,as20000102,CAEDDBM,92.4,0.0341467
6,as20000102,PDEDDBM,91.6,0.0500479
7,as20000102,EDDBM,95.2,0.0348206
7,as20000102,CAEDDBM,92.8,0.0291272
7,as20000102,PDEDDBM,92.8,0.0595663
8,as20000102,EDDBM,95.2,0.0371122
8,as20000102,CAEDDBM,93.6,0.0311025
8,as20000102,PDEDDBM,93.4,0.052208
9,as20000102,EDDBM,95.2,0.0363296
9,as20000102,CAEDDBM,94.2,0.0307298
9,as20000102,PDEDDBM,93.6,0.0465802
10,as20000102,EDDBM,95.6,0.0374812
10,as20000102,CAEDDBM,94,0.0316738
10,as20000102,PDEDDBM,94,0.0419736
11,as20000102,EDDBM,96.2,0.0374172
11,as20000102,CAEDDBM,94.2,0.0308364
11,as20000102,PDEDDBM,94.4,0.0444644
12,as20000102,EDDBM,96.4,0.0377406
12,as20000102,CAEDDBM,94.4,0.0320561
12,as20000102,PDEDDBM,94.6,0.0409582
13,as20000102,EDDBM,96.6,0.038108
13,as20000102,CAEDDBM,95,0.0332411
13,as20000102,PDEDDBM,94.6,0.0381552
14,as20000102,EDDBM,96.8,0.0389299
14,as20000102,CAEDDBM,95.4,0.0323613
14,as20000102,PDEDDBM,95,0.0404219
15,as20000102,EDDBM,97,0.037381
15,as20000102,CAEDDBM,95.4,0.0306863
15,as20000102,PDEDDBM,95,0.0418105
16,as20000102,EDDBM,97.2,0.0388373
16,as20000102,CAEDDBM,95.6,0.0315287
16,as20000102,PDEDDBM,95,0.0388547
17,as20000102,EDDBM,97,0.038082
17,as20000102,CAEDDBM,95.8,0.0298005
17,as20000102,PDEDDBM,95.6,0.0381017
18,as20000102,EDDBM,97,0.0405087
18,as20000102,CAEDDBM,95.8,0.0292177
18,as20000102,PDEDDBM,95.6,0.0359697
19,as20000102,EDDBM,97,0.0413216
19,as20000102,CAEDDBM,96.2,0.0280901
19,as20000102,PDEDDBM,95.6,0.0370001
20,as20000102,EDDBM,97,0.0399832
20,as20000102,CAEDDBM,96.2,0.0272194
20,as20000102,PDEDDBM,95.8,0.0354784
21,as20000102,EDDBM,97,0.0391461
