T,Efficiency,AvgError
1,92,1.89861
2,98,1.52838
3,96,1.13162
4,96,0.998268
5,96,0.955078
6,94,0.991825
7,94,0.897352
8,94,0.871541
9,94,0.86036
10,94,1.04501
11,94,0.975217
12,96,1.00535
13,94,1.00869
14,94,1.06982
15,94,1.0797
16,94,1.06465
17,94,1.19324
18,94,1.14561
19,94,1.19015
20,96,1.17022
21,96,1.16297
22,94,1.16342
23,96,1.11745
24,94,1.07458
25,94,1.05985
26,94,1.05577
27,96,1.01717
28,96,1.06032
29,96,1.04982
30,96,1.03145
31,96,1.03139
32,98,1.03786
33,98,1.03125
34,98,1.03298
35,98,1.00193
36,98,0.998153
37,98,1.01329
38,98,0.985499
39,98,0.979136
40,98,0.967645
41,98,1.03272
42,98,1.06201
43,98,1.05971
44,98,1.07948
45,98,1.08593
46,98,1.11406
47,98,1.11174
48,98,1.12105
49,98,1.13583
50,98,1.13825
51,98,1.14909
52,98,1.1342
53,98,1.12652
54,98,1.12501
55,98,1.11868
56,98,1.13038
57,98,1.1277
58,98,1.13787
59,98,1.1373
60,98,1.12981
61,98,1.13677
62,98,1.13786
63,98,1.14748
64,98,1.13995
65,98,1.13414
66,98,1.13942
67,98,1.13171
68,98,1.12903
69,98,1.1486
70,98,1.14228
71,98,1.14559
72,98,1.14546
73,98,1.15635
74,98,1.16894
75,98,1.16368
76,98,1.17664
77,98,1.17373
78,98,1.16228
79,98,1.15205
80,98,1.15295
81,98,1.14864
82,98,1.13839
83,98,1.13001
84,98,1.12596
85,98,1.11727
86,98,1.12771
87,98,1.12451
88,98,1.12147
89,98,1.14486
90,98,1.13448
91,98,1.1264
92,98,1.13356
93,98,1.13661
94,98,1.20745
95,98,1.2073
96,98,1.20839
97,98,1.20983
98,98,1.20193
99,98,1.20186
100,98,1.21062
