T,Efficiency,AvgError
1,86,0.238206
2,90,0.16636
3,92,0.187601
4,92,0.172078
5,90,0.184471
6,90,0.202085
7,94,0.196676
8,94,0.191766
9,92,0.186753
10,94,0.188589
11,90,0.184837
12,92,0.182117
13,92,0.181914
14,92,0.172553
15,92,0.166704
16,92,0.167068
17,92,0.17291
18,90,0.171016
19,88,0.17099
20,92,0.167812
21,92,0.16711
22,92,0.164946
23,94,0.162314
24,90,0.161875
25,92,0.1604
26,92,0.159779
27,96,0.160568
28,96,0.16009
29,96,0.160572
30,94,0.158678
31,94,0.157939
32,94,0.156733
33,94,0.158024
34,94,0.15961
35,94,0.160774
36,94,0.164105
37,96,0.162157
38,96,0.162527
39,96,0.162616
40,96,0.161522
41,94,0.160378
42,94,0.161563
43,94,0.165378
44,92,0.167634
45,94,0.167531
46,94,0.168069
47,94,0.168066
48,94,0.166779
49,94,0.165817
50,94,0.165403
51,96,0.164002
52,96,0.163394
53,96,0.163897
54,96,0.162714
55,96,0.162568
56,96,0.163501
57,94,0.163623
58,92,0.162645
59,94,0.162289
60,94,0.161694
61,92,0.1613
62,96,0.160985
63,94,0.161569
64,92,0.161415
65,94,0.162304
66,94,0.161704
67,94,0.163097
68,94,0.163032
69,94,0.163934
70,94,0.164302
71,94,0.16405
72,96,0.164769
73,94,0.16514
74,96,0.16439
75,94,0.164224
76,94,0.164045
77,94,0.163974
78,94,0.164034
79,94,0.16476
80,94,0.164208
81,94,0.163989
82,94,0.163626
83,94,0.163091
84,94,0.162514
85,94,0.163069
86,94,0.162695
87,94,0.162741
88,94,0.161788
89,94,0.161512
90,94,0.166507
91,94,0.166784
92,94,0.166889
93,94,0.168119
94,94,0.167549
95,96,0.167107
96,96,0.16783
97,96,0.168116
98,96,0.16799
99,96,0.168481
100,96,0.168432
