T,Efficiency,AvgError
1,86,0.00227409
2,88,0.00187973
3,88,0.00181925
4,90,0.00161712
5,94,0.00101243
6,94,0.00100611
7,94,0.000855275
8,94,0.000594399
9,94,0.000337052
10,94,0.000281115
11,94,0.000258362
12,94,0.000291668
13,94,0.000231132
14,94,0.000206896
15,94,0.000233592
16,94,0.000195523
17,94,0.000210598
18,94,0.000234842
19,94,0.000238934
20,94,0.000220347
21,94,0.000232425
22,94,0.000219285
23,94,0.000204723
24,94,0.000149025
25,94,0.000176513
26,94,0.000234667
27,94,0.000188395
28,94,0.000182581
29,94,0.00363164
30,94,0.00407294
31,94,0.00391433
32,94,0.00389179
33,94,0.00424583
34,94,0.00408507
35,94,0.00395405
36,94,0.00383112
37,94,0.00369992
38,94,0.003613
39,94,0.00355566
40,94,0.00349926
41,94,0.00338844
42,94,0.00331573
43,94,0.00453863
44,94,0.00446733
45,94,0.00436327
46,94,0.00433799
47,94,0.00484632
48,94,0.00472302
49,94,0.0046811
50,94,0.00463602
51,94,0.00451692
52,94,0.00446705
53,94,0.00434787
54,94,0.00425324
55,94,0.00422905
56,94,0.00416335
57,94,0.00408225
58,94,0.00772072
59,94,0.00789957
60,94,0.00782625
61,94,0.00773783
62,94,0.00761712
63,94,0.00746904
64,94,0.00733501
65,94,0.00719831
66,94,0.00707054
67,94,0.00694683
68,94,0.00841933
69,94,0.00829756
70,94,0.00816308
71,94,0.00803005
72,94,0.00790663
73,94,0.00781672
74,94,0.00769795
75,94,0.00757457
76,94,0.00745838
77,94,0.00736031
78,94,0.00725435
79,94,0.00715577
80,94,0.00708567
81,96,0.00699488
82,96,0.00688849
83,96,0.0067911
84,96,0.00669429
85,96,0.00660193
86,96,0.00651443
87,96,0.00642343
88,96,0.00634147
89,96,0.00625199
90,96,0.00616917
91,96,0.00612754
92,96,0.00604826
93,96,0.00598475
94,96,0.0059182
95,96,0.00583687
96,96,0.00577456
97,96,0.00571584
98,96,0.00565903
99,96,0.00560435
100,96,0.00557239
