T,Efficiency,AvgError
1,78,0.000629124
2,78,0.000629124
3,78,0.000629124
4,78,0.000629124
5,78,0.000629124
6,78,0.000629124
7,78,0.00110301
8,78,0.000918951
9,78,0.000775797
10,78,0.000661273
11,78,0.00224906
12,78,0.00203085
13,80,0.00232778
14,80,0.00212073
15,80,0.0019413
16,80,0.00178429
17,82,0.00170132
18,82,0.00157462
19,82,0.00146125
20,82,0.00135923
21,82,0.00175773
22,82,0.0016515
23,82,0.00155451
24,82,0.00146561
25,82,0.00138381
26,82,0.00130831
27,82,0.0012384
28,82,0.00117348
29,82,0.00111304
30,82,0.00105663
31,82,0.00100386
32,82,0.000954385
33,82,0.000907911
34,82,0.00086417
35,82,0.000822929
36,82,0.000783979
37,82,0.000747134
38,82,0.000983468
39,82,0.000943398
40,82,0.000905331
41,82,0.000869121
42,82,0.000834636
43,82,0.000801754
44,82,0.000770367
45,82,0.000740375
46,82,0.000711687
47,82,0.000684219
48,82,0.000670912
49,82,0.00109334
50,82,0.00105952
51,82,0.00122085
52,82,0.00118588
53,82,0.00153674
54,82,0.00149722
55,82,0.00145913
56,82,0.00142241
57,82,0.00138697
58,82,0.00135276
59,82,0.0013197
60,82,0.00128775
61,82,0.00158012
62,82,0.00189931
63,82,0.00185968
64,82,0.00182128
65,82,0.00178407
66,82,0.00174799
67,82,0.00171298
68,82,0.001679
69,82,0.00164601
70,82,0.00161396
71,82,0.00158281
72,82,0.00155253
73,82,0.00152308
74,82,0.00149442
75,84,0.00146943
76,84,0.00144212
77,84,0.00141553
78,84,0.00138962
79,84,0.00136437
80,84,0.00133974
81,84,0.00131573
82,84,0.00130226
83,84,0.00127928
84,84,0.00125684
85,84,0.00123493
86,84,0.00121353
87,84,0.00119262
88,84,0.00117219
89,84,0.00115221
90,84,0.00113268
91,84,0.00111358
92,84,0.0010949
93,84,0.00107661
94,84,0.00105872
95,84,0.0010412
96,84,0.00102405
97,84,0.00100725
98,84,0.000990792
99,84,0.000974668
100,84,0.000958866
