# Undirected graph
# Nodes: 38 Edges: 99
0 9
0 10
0 14
0 20
0 21
0 27
0 34
1 19
1 32
1 33
2 17
2 26
2 36
3 13
3 14
3 15
3 18
3 21
3 30
3 32
4 5
4 6
4 23
4 32
4 34
5 17
5 24
6 8
6 24
6 25
6 26
6 34
7 13
7 15
7 16
7 18
7 22
7 26
7 32
7 34
7 35
8 12
8 16
8 27
9 16
9 18
9 20
9 21
9 30
9 35
10 15
10 29
10 37
11 15
11 25
12 15
12 16
12 36
13 19
14 17
14 20
14 24
14 27
15 24
15 26
15 37
16 27
17 22
18 31
18 37
19 30
20 31
22 24
22 27
22 29
22 31
23 24
23 26
24 26
24 36
25 27
25 31
25 32
25 34
25 36
25 37
26 27
26 36
27 31
28 37
29 30
29 33
30 31
30 33
30 35
30 36
31 32
33 37
34 37
