Node,EDDBM,Optimal
25,0.0000114855,0.0000524870
98,0.0000076116,0.0000602627
162,0.0000054928,0.0000460380
173,0.0000302105,0.0000437744
181,0.0000201404,0.0000401817
187,0.0000151053,0.0000402416
207,0.0000604211,0.0000442593
237,0.0000201404,0.0000522686
309,0.0000837275,0.0000890129
422,0.0000604211,0.0000442593
431,0.0000302105,0.0000891208
461,0.0000302105,0.0000460451
481,0.0000046478,0.0000446351
499,0.0000372122,0.0000784661
525,0.0000086316,0.0000347522
546,0.0000163371,0.0001150326
556,0.0000151053,0.0000500227
567,0.0000302105,0.0000526716
568,0.0000131337,0.0000791731
584,0.0003349101,0.0001877231
647,0.0000302105,0.0000533892
785,0.0000302105,0.0000601424
795,0.0000151053,0.0000604065
961,0.0000604211,0.0000751703
1045,0.0000114855,0.0000375562
1090,0.0000151053,0.0000824311
1106,0.0000201404,0.0001265838
1121,0.0000604211,0.0001431898
1144,0.0000604211,0.0001431898
1235,0.0000302105,0.0000483835
1294,0.0000201404,0.0000519307
1296,0.0003349101,0.0002001778
1334,0.0000065669,0.0000678298
1435,0.0003349101,0.0001719793
1442,0.0002232734,0.0001848444
1443,0.0003349101,0.0001741287
1491,0.0006698202,0.0002816843
1499,0.0000128812,0.0000714673
1554,0.0006698202,0.0002816843
1565,0.0001339640,0.0001362598
1757,0.0003349101,0.0002277636
1785,0.0002232734,0.0002816315
1794,0.0003349101,0.0001912051
1820,0.0006698202,0.0002816843
1831,0.0006698202,0.0002816843
1855,0.0002232734,0.0001854086
1866,0.0002232734,0.0001398069
1882,0.0003349101,0.0001741287
1949,0.0003349101,0.0002413400
2031,0.0003349101,0.0002476988
2037,0.0003349101,0.0002019093
2106,0.0002232734,0.0001550072
2111,0.0003349101,0.0002396625
2113,0.0003349101,0.0002729038
2228,0.0003349101,0.0001895798
2246,0.0006698202,0.0002816843
2249,0.0002232734,0.0002402989
2258,0.0003349101,0.0001912051
2262,0.0003349101,0.0001964588
2272,0.0003349101,0.0001912051
2281,0.0003349101,0.0001964588
2290,0.0002232734,0.0001398069
2296,0.0003349101,0.0002522626
2329,0.0003349101,0.0001964588
2335,0.0002232734,0.0001550072
2342,0.0003349101,0.0002019093
2407,0.0003349101,0.0002522626
2427,0.0001674550,0.0001160026
2483,0.0003349101,0.0001912051
2496,0.0002232734,0.0001901134
2513,0.0006698202,0.0002816843
2517,0.0003349101,0.0001719793
2584,0.0003349101,0.0002396625
2648,0.0003349101,0.0002476988
2673,0.0003349101,0.0001852363
2713,0.0003349101,0.0002019093
2735,0.0002232734,0.0002745845
2741,0.0002232734,0.0001797056
2774,0.0003349101,0.0001912051
2797,0.0003349101,0.0002029647
2799,0.0000956886,0.0001749586
2826,0.0003349101,0.0001719793
2861,0.0002232734,0.0001817419
2912,0.0003349101,0.0001719793
2913,0.0003349101,0.0001719793
2947,0.0002232734,0.0001749774
2976,0.0003349101,0.0001719793
3035,0.0002232734,0.0001577039
3071,0.0003349101,0.0002792482
3089,0.0003349101,0.0001719793
3104,0.0003349101,0.0001719793
3117,0.0003349101,0.0002436428
3127,0.0003349101,0.0001852363
3156,0.0003349101,0.0002609226
3219,0.0003349101,0.0001964588
3223,0.0003349101,0.0002672435
3230,0.0003349101,0.0002725448
3246,0.0003349101,0.0002268775
3308,0.0000057428,0.0000830603
3363,0.0000302105,0.0000773852
3387,0.0000302105,0.0000850928
3392,0.0000604211,0.0000773854
3423,0.0000604211,0.0000773854
3435,0.0000302105,0.0000850928
3446,0.0000229711,0.0000510347
3452,0.0000100702,0.0000618648
3490,0.0000067135,0.0000453633
3531,0.0000302105,0.0000959299
3562,0.0000303656,0.0000359636
3579,0.0000604211,0.0001382467
3652,0.0000229711,0.0000753627
3655,0.0000229711,0.0000753627
3675,0.0000114855,0.0000569165
3811,0.0000604211,0.0000414293
3813,0.0000302105,0.0000371315
3928,0.0000604211,0.0000414293
3932,0.0000302105,0.0000371315
3945,0.0000201404,0.0000416539
3946,0.0000302105,0.0000501412
3986,0.0000302105,0.0000336486
4029,0.0000302105,0.0000397229
4038,0.0000604211,0.0000414293
4077,0.0000604211,0.0000414293
4153,0.0000302105,0.0000336486
4268,0.0000604211,0.0000373408
