NodeIndex,Opt,EDDBM,DBM
0,0.0820937,0.0265252,0.00463959
1,0.0178965,0.00875286,0.00309306
2,0.00530134,0.00216622,0.00154653
3,0.00486901,0.0175057,0.00618612
4,0.00428108,0.00216622,0.00154653
5,0.00396867,0.00216622,0.00154653
6,0.00389518,0.00259947,0.00185584
7,0.00371602,0.00324934,0.0023198
8,0.00335133,0.00216622,0.00154653
9,0.00320632,0.00324934,0.0023198
10,0.00238977,0.000357409,0.00051551
11,0.00231543,0.00259947,0.00185584
12,0.0021743,0.00433245,0.00309306
13,0.0013231,0.000459526,0.000662799
14,0.00130987,0.000402085,0.000579949
15,0.0012849,0.000459526,0.000662799
16,0.00127343,0.000536113,0.000773265
17,0.00125065,0.000402085,0.000579949
18,0.00109187,0.000536113,0.000773265
19,0.00104147,0.000536113,0.000773265
20,0.00101438,0.000536113,0.000773265
21,0.000977004,0.00080417,0.0011599
22,0.000859386,0.000159218,0.000463959
23,0.000858756,0.00080417,0.0011599
24,0.000725816,0.000159218,0.000463959
25,0.000688643,0.000459526,0.000662799
26,0.000661551,0.000643336,0.000927918
27,0.000645227,0.000113727,0.000331399
28,0.000582165,0.00107223,0.00154653
29,0.000573344,0.00107223,0.00154653
30,0.000567463,0.000643336,0.000927918
31,0.000560762,0.00080417,0.0011599
32,0.000529241,0.000159218,0.000463959
33,0.000529241,0.00080417,0.0011599
34,0.000529241,9.9511e-005,0.000289974
35,0.00039105,0.00080417,0.0011599
36,0.000368578,0.00107223,0.00154653
37,0.000360388,0.000159218,0.000463959
38,0.000352827,8.84542e-005,0.000257755
39,0.000317544,0.000199022,0.000579949
40,0.000308724,0.000113727,0.000331399
41,0.000297698,0.00080417,0.0011599
42,0.000291082,0.00107223,0.00154653
43,0.000277221,0.00080417,0.0011599
44,0.000277221,0.000265363,0.000773265
45,0.00026462,0.000159218,0.000463959
46,0.00026462,0.000643336,0.000927918
47,0.00026462,0.00160834,0.0023198
48,0.00026462,0.000199022,0.000579949
49,0.00026462,6.56739e-005,0.000386633
50,0.00026462,0.00080417,0.0011599
51,0.00026462,6.56739e-005,0.000386633
52,0.00026462,9.85108e-005,0.000579949
53,0.00026462,0.000265363,0.000773265
54,0.00026462,4.92554e-005,0.000289974
55,0.00026462,4.92554e-005,0.000289974
56,0.00026462,2.8146e-005,0.0001657
57,0.000258005,0.000199022,0.000579949
58,0.000234378,0.000132681,0.000386633
59,0.000226817,4.92554e-005,0.000289974
60,0.000213835,0.000113727,0.000331399
61,0.000198465,6.56739e-005,0.000386633
62,0.000185234,0.000132681,0.000386633
63,0.000176414,0.000265363,0.000773265
64,0.00013231,6.56739e-005,0.000386633
65,0.00013231,0.000398044,0.0011599
66,0.00013231,0.000132681,0.000386633
67,0.00013231,0.000398044,0.0011599
68,0.000110258,0.000199022,0.000579949
69,9.02115e-005,0.000199022,0.000579949
70,8.82068e-005,0.000265363,0.000773265
71,5.29241e-005,0.000265363,0.000773265
72,3.30775e-005,0.000199022,0.000579949
73,3.30775e-005,0.000199022,0.000579949
74,2.6462e-005,0.000132681,0.000386633
75,2.20517e-005,0.000159218,0.000463959
76,0,0.000796088,0.0023198
77,0,4.92554e-005,0.000289974
78,0,0.000265363,0.000773265
79,0,0.000796088,0.0023198
80,0,0.000159218,0.000463959
81,0,0.000796088,0.0023198
82,0,9.85108e-005,0.000579949
83,0,0.000197022,0.0011599
84,0,0.00160834,0.0023198
85,0,0.000199022,0.000579949
86,0,3.94043e-005,0.00023198
87,0,0.000796088,0.0023198
88,0,0.000197022,0.0011599
89,0,1.21901e-005,0.000144987
90,0,9.85108e-005,0.000579949
91,0,4.87604e-005,0.000579949
92,0,9.85108e-005,0.000579949
93,0,0.00160834,0.0023198
94,0,0.000398044,0.0011599
95,0,0.000398044,0.0011599
96,0,0.000197022,0.0011599
97,0,0.000265363,0.000773265
98,0,0.000398044,0.0011599
99,0,4.87604e-005,0.000579949
