name,topology,nodes,edges,tau,bf_time_ms,smart_time_ms,speedup,bf_optimality,smart_optimality,error_pct,same_edge,bf_edge,smart_edge,bf_reduction,smart_reduction,bf_cands,smart_cands
ER_n30_s0,Erdos-Renyi,30,56,0.05,766.75,101.02,7.59,100.0,0,100,False,"[2, 11]","[-1, -1]",0.00656814,0,379,50
ER_n30_s0,Erdos-Renyi,30,56,0.1,765.7,101.33,7.56,100.0,0,100,False,"[2, 11]","[-1, -1]",0.00656814,0,379,50
ER_n30_s0,Erdos-Renyi,30,56,0.15,758.62,102.42,7.41,100.0,6.83,93.17,False,"[2, 10]","[5, 7]",0.01732348,0.00118266,379,50
ER_n30_s0,Erdos-Renyi,30,56,0.2,754.52,100.95,7.47,100.0,7.14,92.86,False,"[11, 17]","[5, 19]",0.01966338,0.00140453,379,50
ER_n30_s0,Erdos-Renyi,30,56,0.25,752.34,101.51,7.41,100.0,21.56,78.44,False,"[2, 18]","[7, 19]",0.02729885,0.00588494,379,50
BA_n30_s0,Barabasi-Albert,30,56,0.05,758.59,102.14,7.43,100.0,33.33,66.67,False,"[2, 28]","[21, 27]",0.00123153,0.00041051,379,50
BA_n30_s0,Barabasi-Albert,30,56,0.1,755.01,101.4,7.45,100.0,17.62,82.38,False,"[15, 17]","[14, 25]",0.00862069,0.00151888,379,50
BA_n30_s0,Barabasi-Albert,30,56,0.15,752.72,84.87,8.87,100.0,22.42,77.58,False,"[12, 15]","[16, 19]",0.01592775,0.00357143,379,50
BA_n30_s0,Barabasi-Albert,30,56,0.2,629.85,84.94,7.42,100.0,36.94,63.06,False,"[12, 15]","[19, 24]",0.01592775,0.00588396,379,50
BA_n30_s0,Barabasi-Albert,30,56,0.25,657.53,87.71,7.5,100.0,33.72,66.28,False,"[11, 12]","[16, 25]",0.02337165,0.00788177,379,50
WS_n30_s0,Watts-Strogatz,30,60,0.15,641.14,87.31,7.34,100.0,0,100,False,"[22, 23]","[-1, -1]",0.00236922,0,375,50
WS_n30_s0,Watts-Strogatz,30,60,0.2,642.05,88.08,7.29,100.0,100.0,0.0,True,"[24, 27]","[24, 27]",0.0106185,0.0106185,375,50
WS_n30_s0,Watts-Strogatz,30,60,0.25,668.5,88.3,7.57,100.0,100.0,0.0,True,"[17, 23]","[17, 23]",0.02267449,0.02267449,375,50
ER_n30_s1,Erdos-Renyi,30,59,0.1,685.66,86.16,7.96,100.0,100.0,0.0,True,"[19, 20]","[19, 20]",0.00082102,0.00082102,376,50
ER_n30_s1,Erdos-Renyi,30,59,0.15,648.93,87.45,7.42,100.0,26.67,73.33,False,"[3, 19]","[19, 20]",0.00307882,0.00082102,376,50
ER_n30_s1,Erdos-Renyi,30,59,0.2,661.77,86.41,7.66,100.0,14.23,85.77,False,"[7, 12]","[9, 26]",0.01034483,0.00147197,376,50
ER_n30_s1,Erdos-Renyi,30,59,0.25,657.3,86.77,7.58,100.0,12.93,87.07,False,"[12, 23]","[19, 26]",0.01904762,0.00246305,376,50
BA_n30_s1,Barabasi-Albert,30,56,0.05,631.1,83.92,7.52,100.0,0,100,False,"[18, 21]","[-1, -1]",0.00328407,0,379,50
BA_n30_s1,Barabasi-Albert,30,56,0.1,630.51,85.03,7.41,100.0,28.57,71.43,False,"[9, 18]","[22, 26]",0.00923645,0.00263899,379,50
BA_n30_s1,Barabasi-Albert,30,56,0.15,629.3,84.29,7.47,100.0,21.96,78.04,False,"[8, 9]","[22, 27]",0.01642036,0.00360662,379,50
BA_n30_s1,Barabasi-Albert,30,56,0.2,628.54,83.81,7.5,100.0,32.76,67.24,False,"[6, 18]","[16, 29]",0.02011494,0.00658965,379,50
BA_n30_s1,Barabasi-Albert,30,56,0.25,629.69,85.32,7.38,100.0,33.75,66.25,False,"[1, 9]","[20, 26]",0.02373915,0.00801079,379,50
WS_n30_s1,Watts-Strogatz,30,60,0.2,640.69,86.68,7.39,100.0,100.0,0.0,True,"[1, 4]","[1, 4]",0.00940066,0.00940066,375,50
WS_n30_s1,Watts-Strogatz,30,60,0.25,643.12,86.59,7.43,100.0,100.0,0.0,True,"[1, 4]","[1, 4]",0.00940066,0.00940066,375,50
ER_n30_s2,Erdos-Renyi,30,53,0.1,630.44,84.11,7.5,100.0,0,100,False,"[0, 7]","[-1, -1]",0.00123153,0,382,50
ER_n30_s2,Erdos-Renyi,30,53,0.15,708.87,83.69,8.47,100.0,0,100,False,"[6, 7]","[-1, -1]",0.0043514,0,382,50
ER_n30_s2,Erdos-Renyi,30,53,0.2,629.1,82.75,7.6,100.0,91.51,8.49,False,"[6, 7]","[17, 18]",0.0043514,0.00398194,382,50
ER_n30_s2,Erdos-Renyi,30,53,0.25,625.45,83.51,7.49,100.0,84.88,15.12,False,"[15, 26]","[17, 18]",0.00469153,0.00398194,382,50
BA_n30_s2,Barabasi-Albert,30,56,0.05,630.1,83.89,7.51,100.0,8.57,91.43,False,"[9, 10]","[21, 23]",0.00287356,0.00024631,379,50
BA_n30_s2,Barabasi-Albert,30,56,0.1,633.8,83.67,7.57,100.0,40.61,59.39,False,"[11, 26]","[15, 19]",0.00940066,0.00381773,379,50
BA_n30_s2,Barabasi-Albert,30,56,0.15,669.65,84.32,7.94,100.0,35.23,64.77,False,"[9, 26]","[15, 19]",0.01083744,0.00381773,379,50
BA_n30_s2,Barabasi-Albert,30,56,0.2,632.2,86.52,7.31,100.0,26.61,73.39,False,"[13, 26]","[19, 22]",0.02082454,0.00554187,379,50
BA_n30_s2,Barabasi-Albert,30,56,0.25,718.89,89.41,8.04,100.0,31.51,68.49,False,"[8, 18]","[22, 25]",0.02146589,0.0067638,379,50
WS_n30_s2,Watts-Strogatz,30,60,0.15,644.28,85.99,7.49,100.0,0,100,False,"[3, 29]","[-1, -1]",0.00258621,0,375,50
WS_n30_s2,Watts-Strogatz,30,60,0.2,648.51,87.75,7.39,100.0,100.0,0.0,True,"[3, 27]","[3, 27]",0.01550987,0.01550987,375,50
WS_n30_s2,Watts-Strogatz,30,60,0.25,649.41,85.62,7.58,100.0,100.0,0.0,True,"[3, 27]","[3, 27]",0.01550987,0.01550987,375,50
ER_n40_s0,Erdos-Renyi,40,108,0.1,2409.6,177.79,13.55,100.0,1.63,98.37,False,"[7, 24]","[26, 34]",0.00275496,4.498e-05,672,50
ER_n40_s0,Erdos-Renyi,40,108,0.15,2320.23,178.09,13.03,100.0,10.21,89.79,False,"[1, 24]","[34, 35]",0.00478225,0.00048848,672,50
ER_n40_s0,Erdos-Renyi,40,108,0.2,2291.67,174.38,13.14,100.0,31.57,68.43,False,"[7, 20]","[19, 30]",0.00727931,0.00229795,672,50
ER_n40_s0,Erdos-Renyi,40,108,0.25,2288.51,172.61,13.26,100.0,20.67,79.33,False,"[2, 5]","[22, 37]",0.01479562,0.00305814,672,50
BA_n40_s0,Barabasi-Albert,40,76,0.05,2099.88,146.03,14.38,100.0,34.44,65.56,False,"[11, 15]","[32, 34]",0.00202429,0.00069726,704,50
BA_n40_s0,Barabasi-Albert,40,76,0.1,2036.77,146.97,13.86,100.0,14.35,85.65,False,"[11, 20]","[32, 38]",0.00783529,0.00112461,704,50
BA_n40_s0,Barabasi-Albert,40,76,0.15,2036.64,148.21,13.74,100.0,25.33,74.67,False,"[15, 18]","[32, 36]",0.01154167,0.00292398,704,50
BA_n40_s0,Barabasi-Albert,40,76,0.2,2029.5,148.29,13.69,100.0,45.97,54.03,False,"[11, 12]","[35, 37]",0.01511792,0.00695007,704,50
BA_n40_s0,Barabasi-Albert,40,76,0.25,2041.51,147.18,13.87,100.0,45.35,54.65,False,"[7, 17]","[35, 37]",0.01532517,0.00695007,704,50
WS_n40_s0,Watts-Strogatz,40,80,0.05,2133.38,151.02,14.13,100.0,85.71,14.29,False,"[25, 28]","[24, 27]",0.00078722,0.00067476,700,50
WS_n40_s0,Watts-Strogatz,40,80,0.1,2068.63,150.07,13.78,100.0,85.71,14.29,False,"[25, 28]","[24, 27]",0.00078722,0.00067476,700,50
WS_n40_s0,Watts-Strogatz,40,80,0.15,2081.42,154.98,13.43,100.0,99.85,0.15,False,"[26, 29]","[23, 30]",0.00232658,0.00232312,700,50
WS_n40_s0,Watts-Strogatz,40,80,0.2,2092.74,150.1,13.94,100.0,32.82,67.18,False,"[22, 26]","[23, 30]",0.00707901,0.00232312,700,50
WS_n40_s0,Watts-Strogatz,40,80,0.25,2085.1,150.33,13.87,100.0,78.15,21.85,False,"[33, 36]","[27, 31]",0.01324061,0.01034779,700,50
ER_n40_s1,Erdos-Renyi,38,99,0.1,1842.4,153.24,12.02,100.0,0,100,False,"[16, 35]","[-1, -1]",0.00417084,0,604,50
ER_n40_s1,Erdos-Renyi,38,99,0.15,1820.17,155.43,11.71,100.0,0,100,False,"[16, 35]","[-1, -1]",0.00417084,0,604,50
ER_n40_s1,Erdos-Renyi,38,99,0.2,1842.49,153.03,12.04,100.0,12.55,87.45,False,"[18, 34]","[17, 23]",0.00436355,0.0005477,604,50
ER_n40_s1,Erdos-Renyi,38,99,0.25,1820.87,152.99,11.9,100.0,52.66,47.34,False,"[13, 18]","[29, 37]",0.00521593,0.00274649,604,50
BA_n40_s1,Barabasi-Albert,40,76,0.05,2170.31,147.14,14.75,100.0,0,100,False,"[18, 24]","[-1, -1]",0.00357625,0,704,50
BA_n40_s1,Barabasi-Albert,40,76,0.1,2042.58,148.04,13.8,100.0,48.7,51.3,False,"[11, 12]","[29, 30]",0.00868196,0.00422852,704,50
BA_n40_s1,Barabasi-Albert,40,76,0.15,2031.74,146.83,13.84,100.0,34.07,65.93,False,"[6, 18]","[29, 30]",0.01241244,0.00422852,704,50
BA_n40_s1,Barabasi-Albert,40,76,0.2,2034.14,147.28,13.81,100.0,51.68,48.32,False,"[12, 18]","[30, 31]",0.01594692,0.00824117,704,50
BA_n40_s1,Barabasi-Albert,40,76,0.25,2036.21,147.33,13.82,100.0,70.95,29.05,False,"[8, 33]","[29, 31]",0.01887864,0.01339353,704,50
WS_n40_s1,Watts-Strogatz,40,80,0.2,2235.76,148.38,15.07,100.0,100.0,0.0,True,"[16, 39]","[16, 39]",0.00550414,0.00550414,700,50
WS_n40_s1,Watts-Strogatz,40,80,0.25,2295.74,151.32,15.17,100.0,82.02,17.98,False,"[13, 30]","[16, 39]",0.00671108,0.00550414,700,50
ER_n40_s2,Erdos-Renyi,39,88,0.05,2000.45,150.36,13.3,100.0,0,100,False,"[26, 36]","[-1, -1]",0.00099573,0,653,50
ER_n40_s2,Erdos-Renyi,39,88,0.1,1973.44,151.13,13.06,100.0,0,100,False,"[18, 23]","[-1, -1]",0.00704125,0,653,50
ER_n40_s2,Erdos-Renyi,39,88,0.15,2091.91,150.15,13.93,100.0,23.57,76.43,False,"[18, 23]","[20, 21]",0.00704125,0.00165955,653,50
ER_n40_s2,Erdos-Renyi,39,88,0.2,1991.09,150.1,13.27,100.0,17.19,82.81,False,"[33, 36]","[34, 38]",0.01215539,0.00208968,653,50
ER_n40_s2,Erdos-Renyi,39,88,0.25,2284.61,156.46,14.6,100.0,14.97,85.03,False,"[26, 33]","[20, 35]",0.01584197,0.00237079,653,50
BA_n40_s2,Barabasi-Albert,40,76,0.05,2508.17,157.68,15.91,100.0,1.48,98.52,False,"[11, 27]","[20, 25]",0.00413855,6.134e-05,704,50
BA_n40_s2,Barabasi-Albert,40,76,0.1,2361.5,149.56,15.79,100.0,9.52,90.48,False,"[4, 8]","[21, 23]",0.00602789,0.00057367,704,50
BA_n40_s2,Barabasi-Albert,40,76,0.15,2174.12,309.29,7.03,100.0,19.27,80.73,False,"[5, 33]","[22, 23]",0.01042379,0.00200823,704,50
BA_n40_s2,Barabasi-Albert,40,76,0.2,2207.82,157.78,13.99,100.0,67.92,32.08,False,"[11, 13]","[30, 38]",0.01711008,0.011622,704,50
BA_n40_s2,Barabasi-Albert,40,76,0.25,2133.36,151.05,14.12,100.0,67.92,32.08,False,"[11, 13]","[30, 38]",0.01711008,0.011622,704,50
WS_n40_s2,Watts-Strogatz,40,80,0.1,2057.03,149.81,13.73,100.0,100.0,0.0,True,"[8, 9]","[8, 9]",0.00135919,0.00135919,700,50
WS_n40_s2,Watts-Strogatz,40,80,0.15,2058.46,149.5,13.77,100.0,68.24,31.76,False,"[4, 18]","[8, 9]",0.00199176,0.00135919,700,50
WS_n40_s2,Watts-Strogatz,40,80,0.2,2207.06,150.12,14.7,100.0,68.24,31.76,False,"[4, 18]","[8, 9]",0.00199176,0.00135919,700,50
WS_n40_s2,Watts-Strogatz,40,80,0.25,2466.47,163.14,15.12,100.0,100.0,0.0,True,"[5, 9]","[5, 9]",0.00496809,0.00496809,700,50
ER_n50_s0,Erdos-Renyi,50,168,0.15,7339.62,352.43,20.83,100.0,13.91,86.09,False,"[25, 26]","[45, 48]",0.00342748,0.00047691,1057,50
ER_n50_s0,Erdos-Renyi,50,168,0.2,6960.61,526.32,13.23,100.0,20.37,79.63,False,"[21, 28]","[43, 45]",0.0056659,0.00115395,1057,50
ER_n50_s0,Erdos-Renyi,50,168,0.25,6581.7,296.74,22.18,100.0,20.83,79.17,False,"[21, 28]","[35, 44]",0.0056659,0.00118003,1057,50
BA_n50_s0,Barabasi-Albert,50,96,0.05,5448.18,233.3,23.35,100.0,23.12,76.88,False,"[15, 17]","[38, 48]",0.00363419,0.00084022,1129,50
BA_n50_s0,Barabasi-Albert,50,96,0.1,5265.46,245.6,21.44,100.0,60.47,39.53,False,"[15, 20]","[46, 47]",0.00511824,0.00309497,1129,50
BA_n50_s0,Barabasi-Albert,50,96,0.15,6239.32,260.52,23.95,100.0,31.64,68.36,False,"[15, 18]","[46, 47]",0.00978094,0.00309497,1129,50
BA_n50_s0,Barabasi-Albert,50,96,0.2,6223.25,267.63,23.25,100.0,39.46,60.54,False,"[9, 15]","[37, 43]",0.01024356,0.00404215,1129,50
BA_n50_s0,Barabasi-Albert,50,96,0.25,6274.46,276.03,22.73,100.0,64.61,35.39,False,"[9, 11]","[37, 46]",0.01328656,0.00858423,1129,50
WS_n50_s0,Watts-Strogatz,50,100,0.1,7014.74,292.86,23.95,100.0,0,100,False,"[23, 27]","[-1, -1]",0.00028581,0,1125,50
WS_n50_s0,Watts-Strogatz,50,100,0.15,6191.68,257.7,24.03,100.0,11.95,88.05,False,"[8, 12]","[16, 19]",0.00308474,0.00036848,1125,50
WS_n50_s0,Watts-Strogatz,50,100,0.2,5753.31,339.27,16.96,100.0,100.0,0.0,True,"[17, 20]","[17, 20]",0.00341924,0.00341924,1125,50
WS_n50_s0,Watts-Strogatz,50,100,0.25,5861.69,248.11,23.63,100.0,100.0,0.0,True,"[14, 16]","[14, 16]",0.00908244,0.00908244,1125,50
ER_n50_s1,Erdos-Renyi,50,147,0.1,6281.51,284.67,22.07,100.0,48.56,51.44,False,"[20, 27]","[45, 46]",0.00138536,0.00067277,1078,50
ER_n50_s1,Erdos-Renyi,50,147,0.15,6493.71,310.87,20.89,100.0,20.43,79.57,False,"[20, 32]","[45, 46]",0.00329237,0.00067277,1078,50
ER_n50_s1,Erdos-Renyi,50,147,0.2,6494.03,282.24,23.01,100.0,14.81,85.19,False,"[13, 27]","[34, 42]",0.00593114,0.00087868,1078,50
ER_n50_s1,Erdos-Renyi,50,147,0.25,6639.03,292.1,22.73,100.0,22.62,77.38,False,"[4, 32]","[46, 47]",0.00755596,0.001709,1078,50
BA_n50_s1,Barabasi-Albert,50,96,0.05,5839.99,268.37,21.76,100.0,0,100,False,"[24, 44]","[-1, -1]",0.00304705,0,1129,50
BA_n50_s1,Barabasi-Albert,50,96,0.1,5761.66,237.05,24.31,100.0,58.01,41.99,False,"[24, 32]","[34, 42]",0.0069179,0.00401313,1129,50
BA_n50_s1,Barabasi-Albert,50,96,0.15,5375.31,240.81,22.32,100.0,36.32,63.68,False,"[8, 9]","[34, 42]",0.01104951,0.00401313,1129,50
BA_n50_s1,Barabasi-Albert,50,96,0.2,5504.6,252.02,21.84,100.0,63.37,36.63,False,"[12, 18]","[45, 48]",0.01356342,0.00859466,1129,50
BA_n50_s1,Barabasi-Albert,50,96,0.25,5467.97,233.26,23.44,100.0,59.85,40.15,False,"[5, 9]","[40, 42]",0.01517906,0.00908468,1129,50
WS_n50_s1,Watts-Strogatz,50,100,0.15,5329.48,236.41,22.54,100.0,0,100,False,"[1, 5]","[-1, -1]",0.00524849,0,1125,50
