Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,40,76,5427.17,4.57,378.58,2.1,14.34,45.97,False
2,40,76,5296.39,3.59,371.6,1.86,14.25,51.68,False
3,40,76,5292.27,4.43,376.0,3.01,14.08,67.92,False
4,40,76,5402.65,4.6,377.26,2.4,14.32,52.07,False
5,40,76,5338.57,3.61,376.6,2.35,14.18,65.22,False
6,40,76,5296.24,4.39,379.13,1.68,13.97,38.17,False
7,40,76,5360.65,5.29,382.18,0.84,14.03,15.9,False
8,40,76,5336.56,4.84,380.27,2.97,14.03,61.28,False
9,40,76,5261.25,4.21,369.23,1.39,14.25,33.08,False
10,40,76,5403.17,3.91,392.37,1.14,13.77,29.12,False
