Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,16,45,119.77,100.0,19.73,100.0,6.07,100.0,True
2,16,45,104.22,100.0,21.81,100.0,4.78,100.0,True
3,16,45,112.13,100.0,20.71,100.0,5.41,100.0,True
4,16,45,111.29,100.0,21.06,100.0,5.28,100.0,True
5,16,45,118.89,100.0,20.36,100.0,5.84,100.0,True
6,16,45,106.16,100.0,22.38,100.0,4.74,100.0,True
7,16,45,110.71,100.0,19.76,100.0,5.6,100.0,True
8,16,45,111.51,100.0,21.91,100.0,5.09,100.0,True
9,16,45,110.93,100.0,19.37,100.0,5.73,100.0,True
10,16,45,104.29,100.0,19.49,100.0,5.35,100.0,True
