Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,25,50,758.28,5.57,79.72,5.57,9.51,100.0,True
2,25,50,748.83,5.57,70.52,5.57,10.62,100.0,True
3,25,50,792.1,5.57,83.91,5.57,9.44,100.0,True
4,25,50,739.72,5.57,74.59,5.57,9.92,100.0,True
5,25,50,734.32,5.57,80.77,5.57,9.09,100.0,True
6,25,50,774.16,5.57,73.39,5.57,10.55,100.0,True
7,25,50,733.71,5.57,73.6,5.57,9.97,100.0,True
8,25,50,781.02,5.57,73.35,5.57,10.65,100.0,True
9,25,50,903.69,5.57,70.23,5.57,12.87,100.0,True
10,25,50,743.87,5.57,74.32,5.57,10.01,100.0,True
