Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,40,108,6710.02,6.61,525.21,2.09,12.78,31.57,False
2,38,99,4897.84,3.83,498.23,0.48,9.83,12.55,False
3,39,88,5121.19,7.8,383.27,1.34,13.36,17.19,False
4,40,97,5843.59,6.44,414.59,1.64,14.09,25.47,False
5,40,102,6069.58,6.37,458.42,0.82,13.24,12.91,False
6,40,104,6020.08,6.88,441.47,0.14,13.64,2.02,False
7,40,109,6122.02,5.02,445.88,0,13.73,0,False
8,40,101,6388.8,7.21,546.0,0.23,11.7,3.15,False
9,40,75,5829.29,6.1,432.26,1.03,13.49,16.85,False
10,40,110,6135.45,6.04,480.85,0.99,12.76,16.4,False
