Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,20,19,296.74,100.0,7.78,100.0,38.13,100.0,True
2,20,19,384.81,100.0,11.11,100.0,34.64,100.0,True
3,20,19,361.36,100.0,13.34,100.0,27.08,100.0,True
4,20,19,363.7,100.0,7.5,100.0,48.48,100.0,True
5,20,19,290.0,100.0,11.0,100.0,26.37,100.0,True
6,20,19,286.19,100.0,9.41,100.0,30.4,100.0,True
7,20,19,308.93,100.0,9.05,100.0,34.14,100.0,True
8,20,19,308.75,100.0,7.55,100.0,40.89,100.0,True
9,20,19,365.98,100.0,8.87,100.0,41.25,100.0,True
10,20,19,305.22,100.0,7.65,100.0,39.88,100.0,True
