Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,20,19,282.2,0.58,77.98,0.58,3.62,100.0,False
2,20,19,289.61,0.58,88.97,0.58,3.26,100.0,False
3,20,19,303.47,0.58,79.57,0.58,3.81,100.0,False
4,20,19,275.73,0.58,82.53,0.58,3.34,100.0,False
5,20,19,264.54,0.58,77.57,0.58,3.41,100.0,False
6,20,19,280.64,0.58,76.9,0.58,3.65,100.0,False
7,20,19,263.58,0.58,88.83,0.58,2.97,100.0,False
8,20,19,268.55,0.58,77.92,0.58,3.45,100.0,False
9,20,19,299.04,0.58,90.26,0.58,3.31,100.0,False
10,20,19,291.2,0.58,76.5,0.58,3.81,100.0,False
