Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,30,29,1498.84,39.13,121.56,39.13,12.33,100.0,True
2,30,29,1491.69,46.93,130.36,46.93,11.44,100.0,True
3,30,29,1559.74,87.44,61.79,87.44,25.24,100.0,True
4,30,29,1581.68,40.43,177.52,40.43,8.91,100.0,True
5,30,29,1514.8,51.61,76.07,51.61,19.91,100.0,True
6,30,29,1570.32,54.55,46.75,54.55,33.59,100.0,True
7,30,29,1523.76,52.63,178.1,52.63,8.56,100.0,True
8,30,29,1467.87,46.98,180.28,46.98,8.14,100.0,True
9,30,29,1456.75,32.99,142.76,32.99,10.2,100.0,True
10,30,29,1477.33,67.87,111.8,67.87,13.21,100.0,True
